MagCAPShock,IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.0,49.66078445016782,0.973740871571918,0.5770257776008105,126.41391843412624,500.4333692196714,-1.0
-0.99,0.0,49.703475825518055,0.9745779573630992,0.5878013239232502,165.02333897257606,504.0937091993774,-0.99
-0.98,0.0,49.74611335048971,0.9754139872645041,0.5985768702456901,145.6417027211442,504.2882026304774,-0.98
-0.97,0.0,49.788697881033215,0.9762489780594749,0.6093524165681298,151.19036833057865,502.9793421764096,-0.97
-0.96,0.0,49.831229935872365,0.977082939919066,0.6201279628905696,159.1762109386956,501.5011711153291,-0.96
-0.95,0.0,49.87370974252659,0.977915877304443,0.6309035092130094,152.04604634865447,499.9327223860116,-0.95
-0.94,0.0,49.9161372676495,0.978747789561755,0.6416790555354492,172.59193166721948,498.3324268847027,-0.94
-0.93,0.0,49.958512225853156,0.97957867109516,0.6524546018578891,170.92921707111265,496.4815634626431,-0.93
-0.92,0.0,50.00083402286036,0.9804085102521639,0.6632301481803288,186.0346148274327,495.0423656989097,-0.92
-0.91,0.0,50.04310139962995,0.9812372823456852,0.6740056945027683,210.01285763729504,493.3485405649949,-0.91
-0.9,0.0,50.08531059759472,0.9820649136783278,0.6847812408252083,203.96271139262177,491.6028522942891,-0.9
-0.89,0.0,50.12177146430303,0.9827798326333927,0.6955567871476477,222.21416012341217,489.6880109995644,-0.89
-0.88,0.0,50.15422971830459,0.9834162689863646,0.7063323334700877,221.02439888995494,487.0688475730723,-0.88
-0.87,0.0,50.18652597172512,0.9840495288573553,0.7171078797925272,217.58652107256717,481.7337866429552,-0.87
-0.86,0.0,50.21856619967923,0.9846777686211614,0.7278834261149674,221.39171897325267,468.4149222169821,-0.86
-0.85,0.0,50.25071874111456,0.9853082106100894,0.7386589724374069,225.21743694902491,461.8585251548985,-0.85
-0.84,0.0,50.28305379015825,0.9859422311795735,0.7494345187598469,233.10839684775468,459.1352391238334,-0.84
-0.83,0.0,50.31535633483463,0.9865756144085222,0.7602100650822865,241.76148394371418,457.73810156577485,-0.83
-0.82,0.0,50.347649648828124,0.9872088166436888,0.7709856114047264,246.52908305640423,456.6959624855544,-0.82
-0.81,0.0,50.37995161004788,0.9878421884323114,0.781761157727166,254.16819805528303,455.69871691479693,-0.81
-0.8,0.0,50.412219786356516,0.9884748977716964,0.7925367040496057,269.0453454897719,454.4244688138777,-0.8
-0.79,0.0,50.4444546880612,0.9891069546678667,0.8033122503720457,279.55624033265104,452.3141965065052,-0.79
-0.78,0.0,50.4766578802118,0.9897383898080746,0.8140877966944855,281.364699328314,451.426229495219,-0.78
-0.77,0.0,50.50883178652355,0.990369250716148,0.8248633430169251,282.4636756204592,453.3650453285533,-0.77
-0.76,0.0,50.54097976254812,0.990999603187218,0.835638889339365,283.30136146590087,453.8912915648154,-0.76
-0.75,0.0,50.573106173235715,0.9916295328085434,0.8464144356618047,287.9986097595541,454.0409219656456,-0.75
-0.74,0.0,50.60521639258842,0.9922591449527141,0.8571899819842447,290.7982384244929,454.1849431939324,-0.74
-0.73,0.0,50.6373166758067,0.9928885622707196,0.867965528306684,294.4329383004169,454.3539714755381,-0.73
-0.72,0.0,50.66941386875723,0.9935179189952399,0.878741074629124,292.13521365082335,454.51987297050516,-0.72
-0.71,0.0,50.70151494424901,0.9941473518480198,0.8895166209515638,296.86580047069344,454.66710462435327,-0.71
-0.7,0.0,50.73362639800379,0.9947769881961528,0.9002921672740035,296.655305214402,454.78909236850444,-0.7
-0.69,0.0,50.76575360832832,0.9954069334966337,0.9110677135964433,303.0632291813102,454.8846762374609,-0.69
-0.68,0.0,50.79790040045666,0.9960372627540522,0.9218432599188828,325.6785221159794,454.9549026851014,-0.68
-0.67,0.0,50.82982777150322,0.996663289637318,0.9326188062413228,325.9252206587269,454.14597045753953,-0.67
-0.66,0.0,50.861135952935456,0.9972771755477541,0.9433943525637623,326.22893065636,452.08045954570935,-0.66
-0.65,0.0,50.89240181804968,0.9978902317264643,0.9541698988862024,326.53348266317096,449.9521777287096,-0.65
-0.64,0.0,50.92363674316125,0.998502681238456,0.9649454452086419,326.8334347107654,447.63539334582015,-0.64
-0.63,0.0,50.95484102301332,0.9991145298630063,0.9757209915310822,327.11283748593826,444.76604570069196,-0.63
-0.62,0.0,50.985718404976225,0.999719968725024,0.9864965378535215,327.3923476277741,440.4646761521266,-0.62
-0.61,0.0,50.99727208417596,0.9999465114544306,0.9972720841759617,327.67438585299044,433.633530561294,-0.61
-0.6,0.0,51.0,1.0,1.0,327.95750120340955,425.405073263801,-0.6
-0.59,0.0,51.0,1.0,1.0,328.24179352986744,419.22647481862106,-0.59
-0.58,0.0,51.0,1.0,1.0,328.5269522520042,415.36244988149946,-0.58
-0.57,0.0,51.0,1.0,1.0,328.8127264239504,412.60460167062917,-0.57
-0.56,0.0,51.0,1.0,1.0,329.1001397694318,410.2140908499567,-0.56
-0.55,0.0,51.0,1.0,1.0,329.3889411733113,407.90740299687997,-0.55
-0.54,0.0,51.0,1.0,1.0,329.67905253262705,405.5949840203527,-0.54
-0.53,0.0,51.0,1.0,1.0,329.97047777870534,403.2694382444922,-0.53
-0.52,0.0,51.0,1.0,1.0,330.2632419313005,400.9832703335113,-0.52
-0.51,0.0,51.0,1.0,1.0,330.5574285050956,398.8586939690393,-0.51
-0.5,0.0,51.0,1.0,1.0,330.8525008864526,397.08259614949355,-0.5
-0.49,0.0,51.0,1.0,1.0,331.14994522037006,395.8381408773386,-0.49
-0.48,0.0,51.0,1.0,1.0,331.44929263551103,395.17562392811277,-0.48
-0.47,0.0,51.0,1.0,1.0,331.7497646628499,394.99307243559105,-0.47
-0.46,0.0,51.0,1.0,1.0,332.0537372521073,395.0883474266753,-0.46
-0.45,0.0,51.0,1.0,1.0,332.3606398303594,395.28112646135224,-0.45
-0.44,0.0,51.0,1.0,1.0,332.66983933385416,395.4697100695209,-0.44
-0.43,0.0,51.0,1.0,1.0,332.9851655924089,395.6191975478096,-0.43
-0.42,0.0,51.0,1.0,1.0,333.3089447458674,395.7263473548892,-0.42
-0.41,0.0,51.0,1.0,1.0,333.4856696432248,395.74108289928694,-0.41
-0.4,0.0,51.0,1.0,1.0,333.4856696432248,395.72708109689006,-0.4
-0.39,0.0,51.0,1.0,1.0,333.4856696432249,395.7127981871993,-0.39
-0.38,0.0,51.0,1.0,1.0,333.4856696432248,395.698236249185,-0.38
-0.37,0.0,51.0,1.0,1.0,333.48566964322487,395.68339796626316,-0.37
-0.36,0.0,51.0,1.0,1.0,333.48566964322487,395.6682866700445,-0.36
-0.35,0.0,51.0,1.0,1.0,333.48566964322487,395.6528911996342,-0.35
-0.34,0.0,51.0,1.0,1.0,333.4856696432248,395.6350811184099,-0.34
-0.33,0.0,51.0,1.0,1.0,333.485669643225,395.6167436042368,-0.33
-0.32,0.0,51.0,1.0,1.0,333.4856696432248,395.59786272972576,-0.32
-0.31,0.0,51.0,1.0,1.0,333.485669643225,395.57840923445724,-0.31
-0.3,0.0,51.0,1.0,1.0,333.48566964322487,395.5582934807285,-0.3
-0.29,0.0,51.0,1.0,1.0,333.48566964322487,395.53746044329176,-0.29
-0.28,0.0,51.0,1.0,1.0,333.48566964322464,395.5156025249367,-0.28
