IF_sens_r,IF_thresh_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
4.0,0.0,51.0,1.0,1.0,200.6695834086619,471.5989505894205,-0.284
4.340878170264604,0.0,51.0,1.0,1.0,200.668037944129,485.86098430859846,-0.284
4.710805822269944,0.0,51.0,1.0,1.0,200.66645155036994,499.10073569119743,-0.284
5.11225853956175,0.0,51.0,1.0,1.0,200.6648275826861,510.99706915860844,-0.284
5.547922873783102,0.0,51.0,1.0,1.0,200.66316982767682,521.3034525147948,-0.284
6.020714323279183,0.0,51.0,1.0,1.0,200.66148247519945,529.9535225122931,-0.284
6.533796843830508,0.0,51.0,1.0,1.0,200.6596922958914,537.0552239197242,-0.284
7.090604022081906,0.0,51.0,1.0,1.0,200.657827489121,542.8197970122537,-0.284
7.694862053361437,0.0,51.0,1.0,1.0,200.65594775093047,547.4863466144989,-0.284
8.350614677658532,0.0,51.0,1.0,1.0,200.6540593008369,551.2730221857084,-0.284
9.062250240634778,0.0,51.0,1.0,1.0,200.6521685894002,554.357369458203,-0.284
9.834531060761668,0.0,51.0,1.0,1.0,200.65028225552325,556.8758504915019,-0.284
10.672625299112381,0.0,51.0,1.0,1.0,200.64840709551336,558.931804441218,-0.284
11.582141545082669,0.0,51.0,1.0,1.0,200.64655004524866,560.6048632326764,-0.284
12.569166349491027,0.0,51.0,1.0,1.0,200.6447181750257,561.9582247289528,-0.284
13.640304956232512,0.0,51.0,1.0,1.0,200.64291869530442,563.0458485726782,-0.284
14.80272550506545,0.0,51.0,1.0,1.0,200.6411589702185,563.9154181295592,-0.284
16.064207001339426,0.0,51.0,1.0,1.0,200.6394465337816,564.6014552643247,-0.284
17.43319137368153,0.0,51.0,1.0,1.0,200.63778910046008,565.1381477331048,-0.284
18.918839968014844,0.0,51.0,1.0,1.0,200.6361945575344,565.5550456643031,-0.284
20.531094855971272,0.0,51.0,1.0,1.0,200.63467092373196,565.877208672264,-0.284
22.280745367979403,0.0,51.0,1.0,1.0,200.6332262599554,566.1254305706082,-0.284
24.179500296271495,0.0,51.0,1.0,1.0,200.63186852509375,566.3165522359589,-0.284
26.240066250997867,0.0,51.0,1.0,1.0,200.63060538092796,566.4638566873474,-0.284
28.476232693813404,0.0,51.0,1.0,1.0,200.62944396099763,566.5775268523676,-0.284
30.902964217987456,0.0,51.0,1.0,1.0,200.62839062457417,566.6651386957786,-0.284
33.53650069258248,0.0,51.0,1.0,1.0,200.62745071770755,566.7321602141906,-0.284
36.394465940873765,0.0,51.0,1.0,1.0,200.6266283601192,566.7824286676702,-0.284
39.495985680294396,0.0,51.0,1.0,1.0,200.62592627296857,566.8185828442188,-0.284
42.86181551316834,0.0,51.0,1.0,1.0,200.6253456597772,566.8424332213673,-0.284
46.5144798247553,0.0,51.0,1.0,1.0,200.62488615085343,566.8552600140814,-0.284
50.47842251812341,0.0,51.0,1.0,1.0,200.62454581893564,566.8580366365009,-0.284
54.780170594578784,0.0,51.0,1.0,1.0,200.62432126930028,566.8515831693383,-0.284
59.44851167434448,0.0,51.0,1.0,1.0,200.62420780105265,566.8366600013487,-0.284
64.51468664547063,0.0,51.0,1.0,1.0,200.62419962866028,566.8140151028641,-0.284
70.01259873019619,0.0,51.0,1.0,1.0,200.6242901452426,566.7843991410332,-0.284
75.97904036785103,0.0,51.0,1.0,1.0,200.62447220364112,566.7485612542555,-0.284
82.45393943261438,0.0,51.0,1.0,1.0,200.62473838919254,566.7072356095093,-0.284
89.48062643383894,0.0,51.0,1.0,1.0,200.62508126027672,566.6611257849567,-0.284
97.1061244870633,0.0,51.0,1.0,1.0,200.62549353877296,566.6108912378106,-0.284
105.38146399622259,0.0,51.0,1.0,1.0,200.62596824102036,566.5571379647082,-0.284
114.36202415293195,0.0,51.0,1.0,1.0,200.6264987490578,566.5004139694702,-0.284
124.10790353818399,0.0,51.0,1.0,1.0,200.62707882998384,566.4412092058236,-0.284
134.68432230655196,0.0,51.0,1.0,1.0,200.62770261700365,566.3799591032644,-0.284
146.16205864434843,0.0,51.0,1.0,1.0,200.62836456868644,566.317050499356,-0.284
158.61792242254668,0.0,51.0,1.0,1.0,200.62905942293125,566.2528287233953,-0.284
172.13526921418944,0.0,51.0,1.0,1.0,200.62978215943755,566.1876046791741,-0.284
186.80455811612384,0.0,51.0,1.0,1.0,200.63052797955038,566.1216610404325,-0.284
202.723957108052,0.0,51.0,1.0,1.0,200.63129230600222,566.0552570726708,-0.284
220.0,0.0,51.0,1.0,1.0,200.6320707984938,565.9886320519847,-0.284
4.0,0.02,51.0,1.0,1.0,200.6732953670039,478.3390380503175,-0.284
4.340878170264604,0.02,51.0,1.0,1.0,200.6717977383142,491.79092777542945,-0.284
4.710805822269944,0.02,51.0,1.0,1.0,200.67023529927008,504.1088392573279,-0.284
5.11225853956175,0.02,51.0,1.0,1.0,200.66860762329665,515.057389082888,-0.284
5.547922873783102,0.02,51.0,1.0,1.0,200.66691443965516,524.4874750966385,-0.284
6.020714323279183,0.02,51.0,1.0,1.0,200.66515558700766,532.3981463754859,-0.284
6.533796843830508,0.02,51.0,1.0,1.0,200.66333094565064,538.9177242062253,-0.284
7.090604022081906,0.02,51.0,1.0,1.0,200.6614403467701,544.2445503288227,-0.284
7.694862053361437,0.02,51.0,1.0,1.0,200.65938372660287,548.590021508813,-0.284
8.350614677658532,0.02,51.0,1.0,1.0,200.65720575169112,552.143588600688,-0.284
9.062250240634778,0.02,51.0,1.0,1.0,200.65495650136955,555.0596541849482,-0.284
9.834531060761668,0.02,51.0,1.0,1.0,200.65263505133717,557.4583405491254,-0.284
10.672625299112381,0.02,51.0,1.0,1.0,200.65023982353046,559.4322240717671,-0.284
11.582141545082669,0.02,51.0,1.0,1.0,200.64776841870253,561.0539837566116,-0.284
12.569166349491027,0.02,51.0,1.0,1.0,200.64521745553475,562.3824403384444,-0.284
13.640304956232512,0.02,51.0,1.0,1.0,200.64258242848317,563.4672454561172,-0.284
14.80272550506545,0.02,51.0,1.0,1.0,200.63985760414835,564.3547067976983,-0.284
16.064207001339426,0.02,51.0,1.0,1.0,200.63703598990392,565.0797180690283,-0.284
17.43319137368153,0.02,51.0,1.0,1.0,200.63410943122847,565.6740896190339,-0.284
18.918839968014844,0.02,51.0,1.0,1.0,200.63106892692025,566.1670296330879,-0.284
20.531094855971272,0.02,51.0,1.0,1.0,200.6279052884679,566.5835478421036,-0.284
22.280745367979403,0.02,51.0,1.0,1.0,200.62461028499828,566.9444859054083,-0.284
24.179500296271495,0.02,51.0,1.0,1.0,200.62117834976053,567.2666773788923,-0.284
26.240066250997867,0.02,51.0,1.0,1.0,200.61760872633232,567.5632643535977,-0.284
28.476232693813404,0.02,51.0,1.0,1.0,200.61390769145714,567.8441600850948,-0.284
30.902964217987456,0.02,51.0,1.0,1.0,200.61009050886102,568.1166126433156,-0.284
33.53650069258248,0.02,51.0,1.0,1.0,200.60618330792136,568.3858031558951,-0.284
36.394465940873765,0.02,51.0,1.0,1.0,200.6022261472828,568.6554074079681,-0.284
39.495985680294396,0.02,51.0,1.0,1.0,200.59828068307445,568.9280607527305,-0.284
42.86181551316834,0.02,51.0,1.0,1.0,200.59445419638774,569.2056900292223,-0.284
46.5144798247553,0.02,51.0,1.0,1.0,200.59101749545246,569.4897071158578,-0.284
50.47842251812341,0.02,51.0,1.0,1.0,200.5850256220066,569.7810896830774,-0.284
54.780170594578784,0.02,51.0,1.0,1.0,200.5765319716449,570.0803970296324,-0.284
59.44851167434448,0.02,51.0,1.0,1.0,200.56847040499483,570.3877749774306,-0.284
64.51468664547063,0.02,51.0,1.0,1.0,200.56078579939344,570.7029911556083,-0.284
70.01259873019619,0.02,51.0,1.0,1.0,200.55344239861023,571.0255159662753,-0.284
75.97904036785103,0.02,51.0,1.0,1.0,200.5464154214882,571.3546364180679,-0.284
